Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-03-16 09:33:25,WULF,Terawulf Inc.,Dir,P - Purchase,14.91,1338,273552,19%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/WULF_d.png,reports/graphs/WULF_w.png
2026-03-16 09:33:25,FISI,Financial Institutions Inc,CFO,P - Purchase,30.12,660,12796,19%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FISI_d.png,reports/graphs/FISI_w.png
2026-03-16 09:33:25,CSPI,Csp Inc /Ma/,10%,P - Purchase,8.51,2207,1411282,18%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/CSPI_d.png,reports/graphs/CSPI_w.png
2026-03-16 09:33:25,AVBC,"Avidia Bancorp, Inc.","EVP, Chief Admin Officer",P - Purchase,18.69,1000,39100,18%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AVBC_d.png,reports/graphs/AVBC_w.png
2026-03-16 09:33:25,ADV,Advantage Solutions Inc.,Dir,P - Purchase,0.7,16759,1532106,11%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ADV_d.png,reports/graphs/ADV_w.png
2026-03-16 09:33:25,ONCY,Oncolytics Biotech Inc,Dir,P - Purchase,1.03,10000,41849,10%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ONCY_d.png,reports/graphs/ONCY_w.png
2026-03-16 09:33:25,AVBC,"Avidia Bancorp, Inc.",Dir,P - Purchase,18.8,450,975,8%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AVBC_d.png,reports/graphs/AVBC_w.png
2026-03-16 09:33:25,AVBC,"Avidia Bancorp, Inc.","EVP, COO Off",P - Purchase,18.62,440,57940,8%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AVBC_d.png,reports/graphs/AVBC_w.png
2026-03-16 09:33:25,ONCY,Oncolytics Biotech Inc,CEO,P - Purchase,0.96,5050,114050,4%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ONCY_d.png,reports/graphs/ONCY_w.png
2026-03-16 09:33:25,AUBN,"Auburn National Bancorporation, Inc",Dir,P - Purchase,24.1,200,2800,4%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AUBN_d.png,reports/graphs/AUBN_w.png
2026-03-16 09:33:25,AXP,American Express Co,"Grp. Pres, Global Comm. Serv.",P - Purchase,176.26,23,10443,4%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AXP_d.png,reports/graphs/AXP_w.png
2026-03-16 09:33:25,CBKM,Consumers Bancorp Inc /Oh/,"CEO, Pres",P - Purchase,25.98,87,76742,2%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/CBKM_d.png,reports/graphs/CBKM_w.png
2026-03-16 09:33:25,KELYA,Kelly Services Inc,Dir,P - Purchase,14.77,100,100,1%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/KELYA_d.png,reports/graphs/KELYA_w.png
2026-03-16 09:33:25,TPL,Texas Pacific Land Corp,10%,P - Purchase,532.02,1,3469114,532%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/TPL_d.png,reports/graphs/TPL_w.png
2026-03-16 09:33:25,MNTR,"Mentor Capital, Inc.","CEO, 10%",P - Purchase,0.08,3550,3192396,295%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/MNTR_d.png,reports/graphs/MNTR_w.png
2026-03-16 09:33:25,INDV,"Indivior Pharmaceuticals, Inc.",Dir,P - Purchase,31.09,8,5724,249%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/INDV_d.png,reports/graphs/INDV_w.png
