Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSIU,Dow Jones U.S. Reinsurance Index,542.33,467.58,592.5,15.986569143248229,76.98235999314946,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
DJUSHC,Dow Jones U.S. Health Care Index,1548.28,1344.15,1708.01,15.186549120261866,83.95416869819604,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
DJUSFI,Dow Jones U.S. Financial Services Index,2220.4,1907.9,2608.7,16.379265160647833,73.45971563981045,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSRE,Dow Jones U.S. Real Estate Index,367.3,311.91,387.16,17.75832772274053,80.12088650100736,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSGF,Dow Jones U.S. Financial Services Index,2488.8,2138.5,2924.0,16.380640635959793,73.46153846153845,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSFD,Dow Jones U.S. Food Retailers & Wholesalers Index,1288.32,1099.62,1353.53,17.160473618159006,65.34883720930236,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,MEDIO,0
DJUSCH,Dow Jones U.S. Chemicals Index,1776.38,1497.87,2050.51,18.59373643907684,70.16031042997692,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSBC,Dow Jones U.S. Broadcasting & Entertainment Index,1125.4,962.0,1294.9,16.985446985446995,82.76533592989286,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSLE,Dow Jones U.S. Leisure Goods Index,845.94,724.03,1249.95,16.837700095299933,80.749144606519,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSHB,Dow Jones U.S. Home Construction Index,2207.46,1872.38,2900.07,17.89593992672427,89.49819035508163,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,60,60,False,0,0,[],[],MEDIA,ALTO,0
DJUSSR,Dow Jones U.S. Specialty REITs Index,272.46,229.18,284.12,18.884719434505616,70.63736263736268,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,59,59,False,0,0,[],[],BAJA,ALTO,0
DJUSMR,Dow Jones U.S. Mortgage REITs Index,29.82,24.64,34.46,21.02272727272727,77.93296089385481,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,59,59,False,0,0,[],[],BAJA,ALTO,0
DJUSGT,Dow Jones U.S. General Retailers Index,3280.3,2720.3,3649.5,20.58596478329596,69.51414842498666,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,59,59,False,0,0,[],[],BAJA,MEDIO,0
DJUSRT,Dow Jones U.S. Retail Index,2965.2,2453.4,3267.5,20.86084617265834,71.3878326996198,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,59,59,False,0,0,[],[],BAJA,ALTO,0
DJUSRI,Dow Jones U.S. Real Estate Investment Trusts Index,151.51,126.8,159.64,19.487381703470028,80.37068239258645,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,59,59,False,0,0,[],[],BAJA,ALTO,0
DJUSBD,Dow Jones U.S. Building Materials & Fixtures Index,2282.8,1876.9,2724.7,21.62608556662582,89.70963995354235,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,58,58,False,0,0,[],[],BAJA,ALTO,0
