ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
PEBO,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
PGHN.SW,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
PGR,BEST,5,Mejor FCF en Financial Services (10.4% vs media sector 5.8%),2026-04-14
PHIA.AS,WATCH,0,Caro vs peers en Healthcare (FCF rank 19/23) | Piotroski fuerte (7.0/9),2026-04-14
PKBK,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
PRIM,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
PROP,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
PRU.L,BEST,5,Mejor FCF en Financial Services (9.8% vs media sector 5.8%),2026-04-14
PRX.AS,WATCH,-3,Caro vs peers en Consumer Cyclical (FCF rank 19/20),2026-04-14
PSON.L,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Communication Services (13.8% vs media sector 9.1%),2026-04-14
PST.MI,BEST,5,Mejor FCF en Industrials (15.9% vs media sector 5.8%),2026-04-14
QIA.DE,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
RACE,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 17/20) | Piotroski fuerte (9.0/9),2026-04-14
RACE.MI,WATCH,3,Piotroski fuerte (9.0/9),2026-04-14
RAND.AS,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (18.8% vs media sector 5.8%),2026-04-14
RED.MC,CAUTION,-5,Value trap MEDIUM: FCF negativo (-4.3%) — quema caja pese a valuación barata | Piotroski fuerte (8.0/9),2026-04-14
REL.L,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
RELX,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
REP.MC,CAUTION,-8,Value trap MEDIUM: FCF negativo (-1.0%) — quema caja pese a valuación barata | Caro vs peers en Energy (FCF rank 4/4) | Piotroski fuerte (7.0/9),2026-04-14
RHM.DE,WATCH,-3,Caro vs peers en Industrials (FCF rank 46/50),2026-04-14
RI.PA,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (9.2% vs media sector 4.5%),2026-04-14
RLI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
RMS.PA,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
ROG.SW,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
ROP,BEST,5,Mejor FCF en Technology (6.0% vs media sector 4.5%),2026-04-14
RR.L,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
RRBI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
RSG,CAUTION,-8,Señal salida MEDIUM: Score cayó 16pts (57 → 40),2026-04-14
RWE.DE,CAUTION,-19,Value trap MEDIUM: FCF negativo (-26.1%) — quema caja pese a valuación barata | Quality decay MEDIUM: FCF yield cayó 20.2pp (-5.9% → -26.1%) | Caro vs peers en Utilities (FCF rank 7/7),2026-04-14
SAF.PA,CAUTION,-8,Value trap MEDIUM: FCF negativo (-1.3%) — quema caja pese a valuación barata | Caro vs peers en Industrials (FCF rank 50/50) | Piotroski fuerte (7.0/9),2026-04-14
SAN.PA,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Healthcare (17.1% vs media sector 5.8%),2026-04-14
SAP,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
SAP.DE,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
SBGSY,WATCH,-3,Caro vs peers en Industrials (FCF rank 40/50),2026-04-14
SCHP.SW,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
